,breweryID,abv,ibu,beerID,beer_name,style,ounces,brewery_name,city,state
1505,292,0.055,35.0,533,Amber Road,American Amber / Red Ale,12.0,Baxter Brewing Company,Lewiston,ME
1506,292,0.068,55.0,954,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,Baxter Brewing Company,Lewiston,ME
1507,292,0.069,69.0,182,Stowaway IPA,American IPA,12.0,Baxter Brewing Company,Lewiston,ME
1508,292,0.053,29.666666666666668,1855,Tarnation California-Style Lager,California Common / Steam Beer,12.0,Baxter Brewing Company,Lewiston,ME
1509,292,0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,16.0,Baxter Brewing Company,Lewiston,ME
1510,292,0.047,15.666666666666666,707,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,Baxter Brewing Company,Lewiston,ME
1511,292,0.047,15.666666666666666,1209,Summer Swelter,American Pale Wheat Ale,12.0,Baxter Brewing Company,Lewiston,ME
1512,292,0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),12.0,Baxter Brewing Company,Lewiston,ME
1513,292,0.066,71.0,910,Hayride Autumn Ale,Rye Beer,12.0,Baxter Brewing Company,Lewiston,ME
1514,293,0.069,88.33333333333333,1854,Blue Boots IPA,American IPA,16.0,Northampton Brewery,Northamtpon,MA
1515,294,0.071,45.0,1849,American Red Porter,American Porter,12.0,Black Shirt Brewing Company,Denver,CO
1516,294,0.071,83.0,1850,American India Red Ale,American Strong Ale,12.0,Black Shirt Brewing Company,Denver,CO
1517,294,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,12.0,Black Shirt Brewing Company,Denver,CO
1518,294,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,12.0,Black Shirt Brewing Company,Denver,CO
1519,295,0.06,55.0,1845,Green Monsta IPA,American IPA,12.0,Wachusett Brewing Company,Westminster,MA
1520,295,0.04,37.0,1846,Wachusett Light IPA,American IPA,12.0,Wachusett Brewing Company,Westminster,MA
1521,295,0.045,10.0,619,Wachusett Blueberry Ale,Fruit / Vegetable Beer,12.0,Wachusett Brewing Company,Westminster,MA
1522,295,0.055999999999999994,50.0,1844,Wachusett IPA,American IPA,12.0,Wachusett Brewing Company,Westminster,MA
1523,295,0.085,85.0,1418,Larry Imperial IPA,American Double / Imperial IPA,12.0,Wachusett Brewing Company,Westminster,MA
1524,295,0.047,15.666666666666666,1038,Wachusett Summer,American Pale Wheat Ale,12.0,Wachusett Brewing Company,Westminster,MA
1525,295,0.051,17.0,1030,Country Pale Ale,English Pale Ale,12.0,Wachusett Brewing Company,Westminster,MA
1526,295,0.047,15.666666666666666,1843,Strawberry White,Witbier,12.0,Wachusett Brewing Company,Westminster,MA
1527,295,0.052000000000000005,20.0,908,Pumpkan,Pumpkin Ale,12.0,Wachusett Brewing Company,Westminster,MA
1528,295,0.06,55.0,618,Green Monsta IPA,American IPA,12.0,Wachusett Brewing Company,Westminster,MA
1529,295,0.04,37.0,1029,Wachusett Light IPA (2013),American IPA,12.0,Wachusett Brewing Company,Westminster,MA
1530,296,0.049,30.0,1836,Widmer Brothers Hefeweizen,Hefeweizen,12.0,Widmer Brothers Brewing Company,Portland,OR
1531,296,0.049,30.0,1837,Hefe Black,Hefeweizen,12.0,Widmer Brothers Brewing Company,Portland,OR
1532,296,0.049,30.0,1838,Hefe Lemon,Radler,12.0,Widmer Brothers Brewing Company,Portland,OR
1533,297,0.042,25.0,1835,Provision,Saison / Farmhouse Ale,12.0,Hop Farm Brewing Company,Pittsburgh,PA
1534,297,0.047,28.0,1834,One Nut Brown,American Brown Ale,12.0,Hop Farm Brewing Company,Pittsburgh,PA
1535,297,0.057999999999999996,45.0,1833,Hop Farm IPA,American IPA,12.0,Hop Farm Brewing Company,Pittsburgh,PA
1536,298,0.057,42.0,1688,American Hero,American Amber / Red Ale,12.0,Liquid Hero Brewery,York,PA
1537,298,0.057999999999999996,40.0,1832,Adam's Stout,American Stout,12.0,Liquid Hero Brewery,York,PA
1538,298,0.065,75.0,1686,Irregardless IPA,American IPA,12.0,Liquid Hero Brewery,York,PA
1539,298,0.052000000000000005,20.0,1687,Schweet Ale,Fruit / Vegetable Beer,12.0,Liquid Hero Brewery,York,PA
1540,299,0.042,25.0,1359,Saranac Shandy,Shandy,12.0,Matt Brewing Company,Utica,NY
1541,299,0.047,15.666666666666666,956,Pomegranate Wheat (2008),Fruit / Vegetable Beer,12.0,Matt Brewing Company,Utica,NY
1542,299,0.051,30.333333333333332,960,Saranac Golden Pilsener (2003),German Pilsener,12.0,Matt Brewing Company,Utica,NY
1543,299,0.065,60.0,1831,Our Legacy IPA,American IPA,12.0,Matt Brewing Company,Utica,NY
1544,299,0.055,31.666666666666668,150,Saranac Pale Ale (12 oz.),English Pale Ale,12.0,Matt Brewing Company,Utica,NY
1545,299,0.065,60.0,1135,Our Legacy IPA,American IPA,16.0,Matt Brewing Company,Utica,NY
1546,299,0.06,40.666666666666664,686,Saranac White IPA,American IPA,12.0,Matt Brewing Company,Utica,NY
1547,299,0.045,19.333333333333332,958,DAX Light (1998),Light Lager,12.0,Matt Brewing Company,Utica,NY
1548,299,0.045,19.333333333333332,959,Saranac Adirondack Light (2002),Light Lager,12.0,Matt Brewing Company,Utica,NY
1549,299,0.048,26.333333333333332,957,Saranac Traditional Lager (2000),American Pale Lager,12.0,Matt Brewing Company,Utica,NY
1550,299,0.047,15.666666666666666,453,Saranac Summer Ale (2011),American Pale Wheat Ale,12.0,Matt Brewing Company,Utica,NY
1551,299,0.05,12.0,773,Blueberry Blonde Ale,American Blonde Ale,12.0,Matt Brewing Company,Utica,NY
1552,299,0.055,31.666666666666668,133,Saranac Pale Ale (16 oz.),English Pale Ale,16.0,Matt Brewing Company,Utica,NY
1553,300,0.049,30.0,1310,Boston Lager,Vienna Lager,12.0,Boston Beer Company,Boston,MA
1554,300,0.049,30.0,1143,Boston Lager,Vienna Lager,12.0,Boston Beer Company,Boston,MA
1555,300,0.045,8.0,1830,Porch Rocker,Radler,12.0,Boston Beer Company,Boston,MA
1556,300,0.065,45.0,1629,Rebel IPA,American IPA,16.0,Boston Beer Company,Boston,MA
1557,300,0.055,31.666666666666668,1601,Cold Snap,Witbier,12.0,Boston Beer Company,Boston,MA
1558,300,0.053,7.0,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,12.0,Boston Beer Company,Boston,MA
1559,300,0.053,15.0,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,12.0,Boston Beer Company,Boston,MA
1560,300,0.055999999999999994,28.666666666666668,1427,Samuel Adams Winter Lager,Bock,12.0,Boston Beer Company,Boston,MA
1561,300,0.049,30.0,1349,Boston Lager,Vienna Lager,16.0,Boston Beer Company,Boston,MA
1562,301,0.048,26.333333333333332,508,Endless Summer Ale (2011),American Pale Wheat Ale,16.0,Old Forge Brewing Company,Danville,PA
1563,301,0.055,31.666666666666668,509,T-Rail Pale Ale,American Pale Ale (APA),16.0,Old Forge Brewing Company,Danville,PA
1564,301,0.075,63.333333333333336,891,Overbite IPA,American IPA,16.0,Old Forge Brewing Company,Danville,PA
1565,301,0.055,31.666666666666668,1485,Plowshare Porter,American Porter,16.0,Old Forge Brewing Company,Danville,PA
1566,301,0.065,67.66666666666667,900,Celestial Blonde Ale,American Blonde Ale,16.0,Old Forge Brewing Company,Danville,PA
1567,301,0.045,19.333333333333332,1381,Endless Sun Ale,American Pale Wheat Ale,16.0,Old Forge Brewing Company,Danville,PA
1568,301,0.06,40.666666666666664,1828,Hopsmith Pale Lager,American Pale Lager,16.0,Old Forge Brewing Company,Danville,PA
1569,301,0.065,65.0,1487,Falling Down Brown Ale,American Brown Ale,16.0,Old Forge Brewing Company,Danville,PA
1570,301,0.068,52.0,1486,Resolution Rye Stout,American Stout,16.0,Old Forge Brewing Company,Danville,PA
1571,301,0.046,20.0,1394,Old Forge Pumpkin Ale,Pumpkin Ale,16.0,Old Forge Brewing Company,Danville,PA
1572,302,0.09,75.0,1825,Squatters Hop Rising Double IPA,American Double / Imperial IPA,12.0,Utah Brewers Cooperative,Salt Lake City,UT
1573,302,0.09,75.0,1680,Squatters Hop Rising Double IPA (2014),American Double / Imperial IPA,12.0,Utah Brewers Cooperative,Salt Lake City,UT
1574,302,0.04,12.0,1681,Wasatch Apricot Hefeweizen,Fruit / Vegetable Beer,12.0,Utah Brewers Cooperative,Salt Lake City,UT
1575,302,0.06,40.666666666666664,1682,Wasatch Ghostrider White IPA (2014),American White IPA,12.0,Utah Brewers Cooperative,Salt Lake City,UT
1576,302,0.06,40.666666666666664,1823,Wasatch Ghostrider White IPA,American White IPA,12.0,Utah Brewers Cooperative,Salt Lake City,UT
1577,302,0.08,68.66666666666667,1824,Devastator Double Bock,Doppelbock,12.0,Utah Brewers Cooperative,Salt Lake City,UT
1578,302,0.04,12.0,1679,Squatters Full Suspension Pale Ale,American Pale Ale (APA),12.0,Utah Brewers Cooperative,Salt Lake City,UT
1579,302,0.04,12.0,1826,Squatters Full Suspension Pale Ale,American Pale Ale (APA),12.0,Utah Brewers Cooperative,Salt Lake City,UT
1580,303,0.051,20.0,1813,#9,Fruit / Vegetable Beer,16.0,Magic Hat Brewing Company,South Burlington,VT
